                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.87186,                 6.8069,                      0,                0.66695,                  1.129,                0.92489,                0.96667,                0.98042,                0.71024,                 0.1624,                0.13333,                0.04913,                0.00717,                0.96811,                 5.9958,                      0,                0.71536,                 1.2681,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.016,                 6.8186,                      0,                0.68805,                 1.2049,                0.92728,                0.96667,                0.97535,                0.77009,                0.30982,                0.33333,                0.17535,                0.03609,                0.88623,                  5.595,                      0,                0.66372,                   1.19,              0.0013268,              0.0013268,              0.0013268
                     36,                0.76325,                 6.3609,                      0,                0.60618,                 1.0593,                0.93229,                      1,                0.98212,                0.79737,                0.13253,                0.13333,                0.06422,                0.00899,                0.75675,                 5.7874,                      0,                0.65444,                 1.1479,               0.001307,               0.001307,               0.001307
                     37,                0.86013,                 6.0474,                      0,                0.61594,                 1.1896,                 0.8532,                0.96873,                0.97781,                0.78868,                0.19739,                    0.2,                0.10835,                0.02448,                 0.7521,                 5.5807,                      0,                0.66615,                 1.1087,              0.0012872,              0.0012872,              0.0012872
                     38,                0.85673,                 6.2445,                      0,                0.63776,                 1.1263,                0.89281,                0.93333,                0.97202,                0.75754,                0.23815,                0.33333,                0.18063,                0.02427,                0.82925,                 5.7678,                      0,                0.74324,                 1.1728,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.7747,                 5.9568,                      0,                  0.571,                 1.0664,                0.85155,                0.96667,                0.94491,                0.68459,                0.37905,                    0.5,                0.35447,                0.06758,                0.95959,                 5.4407,                      0,                0.87885,                 1.2794,              0.0012476,              0.0012476,              0.0012476
                     40,                0.86215,                 6.2356,                      0,                0.63977,                 1.1627,                0.90006,                0.90065,                0.96878,                0.73468,                0.51321,                0.43333,                0.34362,                0.04889,                0.84201,                 5.3503,                      0,                0.61538,                 1.1949,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88095,                 5.9665,                      0,                 0.6305,                  1.117,                      1,                0.98309,                  0.995,                0.73835,                0.57891,                0.56667,                0.42581,                0.08268,                0.82662,                 5.1689,                      0,                0.56407,                 1.1682,               0.001208,               0.001208,               0.001208
                     42,                0.82231,                  5.997,                      0,                0.60037,                 1.1308,                0.93841,                0.96667,                0.98661,                0.73312,                0.61661,                0.63333,                0.54851,                 0.0834,                 0.8188,                 5.1421,                      0,                 0.5131,                 1.1544,              0.0011882,              0.0011882,              0.0011882
                     43,                0.80103,                 5.9013,                      0,                0.58681,                 1.0805,                0.96523,                      1,                0.99081,                0.74338,                0.47478,                    0.5,                0.33183,                0.04624,                0.85999,                 5.4575,                      0,                0.53244,                 1.1716,              0.0011684,              0.0011684,              0.0011684
                     44,                0.80513,                 5.9562,                      0,                0.60836,                 1.1005,                0.84364,                0.89925,                0.93287,                0.73008,                0.58644,                0.66667,                0.56649,                0.09651,                0.87498,                  5.056,                      0,                0.66564,                 1.1714,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.8496,                 5.5868,                      0,                0.60344,                 1.0977,                0.79864,                0.93333,                0.92965,                0.70593,                0.61173,                    0.6,                0.54896,                0.11083,                0.83711,                 5.1957,                      0,                0.66545,                 1.1428,              0.0011288,              0.0011288,              0.0011288
                     46,                0.74498,                 5.6845,                      0,                0.57148,                 1.0462,                0.92332,                 0.8029,                 0.9406,                0.68467,                0.69641,                0.61201,                0.50148,                0.09781,                0.86571,                 5.3912,                      0,                0.64819,                 1.1695,               0.001109,               0.001109,               0.001109
                     47,                0.77986,                   5.73,                      0,                0.57658,                 1.1061,                0.90172,                0.93333,                 0.9857,                0.74663,                 0.7675,                0.66043,                0.61051,                0.11593,                0.83842,                 4.9288,                      0,                 0.6071,                 1.1366,              0.0010892,              0.0010892,              0.0010892
                     48,                0.84123,                 6.0803,                      0,                 0.5939,                 1.1349,                0.96303,                      1,                0.99403,                0.72755,                 0.5117,                0.53333,                0.38448,                0.07652,                0.85974,                 4.8424,                      0,                0.53447,                 1.1705,              0.0010694,              0.0010694,              0.0010694
